"ID","Drone","Varroa","Day","Mo","Year","Geocluster","City_original","City_rename","State","Country","Latitude","Longitude","Other_obs","Weather","Collector","Beekeeper","S_sample","S_site"
"290379_A","","Unknown",25,4,1991,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,NA,NA,NA,NA,29.0379,29
"290379_B","","Unknown",25,4,1991,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,NA,NA,NA,NA,29.0379,29
"290445_A","","Unknown",22,5,1991,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,NA,NA,NA,NA,29.0445,29
"290445_B","","Unknown",22,5,1991,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,NA,NA,NA,NA,29.0445,29
"290520_A","","Unknown",22,7,1991,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,"STATION 2 = NEW PHEROMONE",NA,NA,NA,29.052,29
"290520_B","","Unknown",22,7,1991,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,"STATION 2 = NEW PHEROMONE",NA,NA,NA,29.052,29
"290666_A","","Unknown",23,3,1992,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,"STATION 1 TRAP A = REP. BY TREE TRAP B = REP. BY TREE STATION 2 TRAP T = NO BROOD. 25 IN ETOH",NA,NA,NA,29.0666,29
"290666_B","","Unknown",23,3,1992,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,"STATION 1 TRAP A = REP. BY TREE TRAP B = REP. BY TREE STATION 2 TRAP T = NO BROOD. 25 IN ETOH",NA,NA,NA,29.0666,29
"291261_A","","Unknown",30,4,1993,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,NA,NA,NA,NA,NA,NA
"291261_B","","Unknown",30,4,1993,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,NA,NA,NA,NA,NA,NA
"291268_A","","Unknown",2,6,1993,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,NA,NA,NA,NA,NA,NA
"291268_B","","Unknown",2,6,1993,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,NA,NA,NA,NA,NA,NA
"291283_A","","Unknown",27,9,1993,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,"QUEEN NOT FOUND",NA,NA,NA,NA,NA
"291283_B","","Unknown",27,9,1993,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,"QUEEN NOT FOUND",NA,NA,NA,NA,NA
"292002_A","","Unknown",18,4,1994,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,".40KG",NA,NA,NA,NA,NA
"292002_B","","Unknown",18,4,1994,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,".40KG",NA,NA,NA,NA,NA
"292006_A","","NO",25,5,1994,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,"NO varroa .27KG",NA,NA,NA,NA,NA
"292006_B","","NO",25,5,1994,"BOR","RESACA","","TEXAS","USA",26.141488,-97.673177,"NO varroa .27KG",NA,NA,NA,NA,NA
"3001_A","","Unknown",6,4,1988,"TAM","EJIDO ""LA PIEDRA""","","TAMAULIPAS","MEXICO",NA,NA,"OESTE DE LAVADEROS A 7KM THIS COLONY IS POPULATED E/BEES FROM SAN LUIS POTOSI ABOUT 8 YRS AGO COLMENA MODERNA",NA,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA","FLAVIO CASTRO",NA,NA
"3001_B","","Unknown",6,4,1988,"TAM","EJIDO ""LA PIEDRA""","","TAMAULIPAS","MEXICO",NA,NA,"OESTE DE LAVADEROS A 7KM THIS COLONY IS POPULATED E/BEES FROM SAN LUIS POTOSI ABOUT 8 YRS AGO COLMENA MODERNA",NA,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA","FLAVIO CASTRO",NA,NA
"3004_A","","Unknown",6,4,1988,"TAM","EJIDO ""LA PIEDRA""","","TAMAULIPAS","MEXICO",NA,NA,"OESTE DE LAVADEROS A 7KM THIS COLONY IS POPULATED E/BEES FROM SAN LUIS POTOSI ABOUT 8 YRS AGO COLMENA MODERNA",NA,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA","FLAVIO CASTRO",NA,NA
"3004_B","","Unknown",6,4,1988,"TAM","EJIDO ""LA PIEDRA""","","TAMAULIPAS","MEXICO",NA,NA,"OESTE DE LAVADEROS A 7KM THIS COLONY IS POPULATED E/BEES FROM SAN LUIS POTOSI ABOUT 8 YRS AGO COLMENA MODERNA",NA,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA","FLAVIO CASTRO",NA,NA
"3008_A","","Unknown",6,4,1988,"TAM","EJIDO ""LA PIEDRA""","","TAMAULIPAS","MEXICO",NA,NA,"OESTE DE LAVADEROS A 7KM THIS COLONY IS POPULATED E/BEES FROM SAN LUIS POTOSI ABOUT 8 YRS AGO COLMENA MODERNA",NA,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA","FLAVIO CASTRO",NA,NA
"3008_B","","Unknown",6,4,1988,"TAM","EJIDO ""LA PIEDRA""","","TAMAULIPAS","MEXICO",NA,NA,"OESTE DE LAVADEROS A 7KM THIS COLONY IS POPULATED E/BEES FROM SAN LUIS POTOSI ABOUT 8 YRS AGO COLMENA MODERNA",NA,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA","FLAVIO CASTRO",NA,NA
