SAMPLE_ID,Drone,Day,Mo,Year,City_original,State,Country,Location-new,Geocluster,Latitude,Longitude,Collector,Varroa,Other_obs,Weather,Beekeeper
1942,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"1.400KG, MUCHO MIEL Y POLEN, NO ZANG, QUEEN?",DESPEJADO,TRAPLINE
1943,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.650KG, POCA MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1944,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.950KG, MIEL Y PLEN, NO ZANG",DESPEJADO,TRAPLINE
1945,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"1.200KG, QUEEN?",DESPEJADO,TRAPLINE
1946,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.500KG, MUCHA MIEL Y POLEN, NO ZANG, ENJAMBRE SIN REINA, 4 COPACELDAS",DESPEJADO,TRAPLINE
1947_A,YES,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.750KG, MIEL Y POLEN, PRES DE ZANG",DESPEJADO,TRAPLINE
1947_B,YES,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.750KG, MIEL Y POLEN, PRES DE ZANG",DESPEJADO,TRAPLINE
1948,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.450KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1949,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.750KG, MIEL Y POLEN, PRES DE ZANG",DESPEJADO,TRAPLINE
1950,YES,22,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"1.550KG, POLEN Y POCA MIEL, PRES DE ZANG, QUEEN?",MEDIO NUBLADO,TRAPLINE
1951,YES,22,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"2.250KG, MUCHA MIEL Y POLEN",DESPEJADO,TRAPLINE
1952,,22,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.500KG, POCA MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1953,,22,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,0.500KG,DESPEJADO,TRAPLINE
